Type	Part Number	Brand	Model	Rank	Score	Samples	URL	Name	Codename	Cores	Socket	Process	Clock	Multi	Cache L1/L2/L3	TDP	Released	Price	
CPU		Intel	U4100	914	10.4	306	http://cpu.userbenchmark.com/SpeedTest/10746/Genuine-IntelR-CPU-----------U4100----130GHz	Pentium SU4100	Penryn	2 	Intel BGA 956	45 nm	1300&nbsp;MHz	6.5x	64K / 2048K / 0K	10W	Sep 2009		
CPU		AMD	Athlon 64 3000+	915	10.2	141	http://cpu.userbenchmark.com/SpeedTest/5460/AMD-Athlontm-64-Processor-3000-	Athlon 64 3000+	Orleans	1 	AMD Socket AM2	90 nm	1800&nbsp;MHz	9.0x	128K / 512K / 0K	62W	May 2006		
CPU		Intel	T2080	916	10.2	159	http://cpu.userbenchmark.com/SpeedTest/4748/Genuine-IntelR-CPU-----------T2080----173GHz												
CPU		Intel	Pentium 4 3.00GHz	917	10.2	2161	http://cpu.userbenchmark.com/SpeedTest/440/--------------IntelR-PentiumR-4-CPU-300GHz												
CPU		AMD	E2-2000 APU	918	10.2	92	http://cpu.userbenchmark.com/SpeedTest/10908/AMD-E2-2000-APU-with-Radeontm-HD-Graphics												
CPU		Intel	Pentium 4 2.80GHz	919	10.2	609	http://cpu.userbenchmark.com/SpeedTest/3163/--------------IntelR-PentiumR-4-CPU-280GHz												
CPU		AMD	E2-1800 APU	920	10.1	1149	http://cpu.userbenchmark.com/SpeedTest/839/AMD-E2-1800-APU-with-Radeontm-HD-Graphics											1190	
CPU		AMD	Turion 64 Mobile Technology ML-32	921	10	10	http://cpu.userbenchmark.com/SpeedTest/10530/AMD-Turiontm-64-Mobile-Technology-ML-32												
CPU		AMD	Sempron 3600+	922	10	44	http://cpu.userbenchmark.com/SpeedTest/1005/Mobile-AMD-Semprontm-Processor-3600-	Sempron 3600+	Manila	1 	AMD Socket AM2	90 nm	2000&nbsp;MHz	10.0x	128K / 256K / 0K	62W	May 2006		
CPU		Intel	T2250	923	9.98	165	http://cpu.userbenchmark.com/SpeedTest/5955/Genuine-IntelR-CPU-----------T2250----173GHz	Core Duo T2250	Yonah	2 	Intel Socket 479	65 nm	1733&nbsp;MHz	13.0x	64K / 2048K / 0K	31W	May 2006		
CPU		Intel	Core2 Duo T5250	924	9.97	272	http://cpu.userbenchmark.com/SpeedTest/5189/IntelR-CoreTM2-Duo-CPU-----T5250----150GHz												
CPU		Intel	T2300	925	9.95	316	http://cpu.userbenchmark.com/SpeedTest/2474/Genuine-IntelR-CPU-----------T2300----166GHz	Core Duo T2300	Yonah	2 	Intel Socket 479	65 nm	1660&nbsp;MHz	10.0x	64K / 2048K / 0K	31W	Jan 2006		
CPU		Intel	U2300	926	9.85	104	http://cpu.userbenchmark.com/SpeedTest/2326/Genuine-IntelR-CPU-----------U2300----120GHz												
CPU		Intel	Pentium Dual T2310	927	9.74	132	http://cpu.userbenchmark.com/SpeedTest/2719/IntelR-PentiumR-Dual--CPU--T2310----146GHz												
CPU		Intel	Pentium 4 2.93GHz	928	9.71	51	http://cpu.userbenchmark.com/SpeedTest/4199/--------------IntelR-PentiumR-4-CPU-293GHz												
CPU		AMD	Sempron 3400+	929	9.69	78	http://cpu.userbenchmark.com/SpeedTest/8329/AMD-Semprontm-Processor-3400-	Sempron 3400+	Manila	1 	AMD Socket AM2	90 nm	1800&nbsp;MHz	9.0x	128K / 256K / 0K	62W	May 2006	5480	
CPU		AMD	E-450 APU	930	9.69	2060	http://cpu.userbenchmark.com/SpeedTest/2189/AMD-E-450-APU-with-Radeontm-HD-Graphics											4280	
CPU		AMD	E-350	931	9.62	1420	http://cpu.userbenchmark.com/SpeedTest/5356/AMD-E-350-Processor	E-350	Zacate	2 	AMD Socket FT1	40 nm	1600&nbsp;MHz	16.0x	64K / 512K / 0K	18W	Jan 2011	96	
CPU		AMD	E1-2500 APU	932	9.53	726	http://cpu.userbenchmark.com/SpeedTest/9778/AMD-E1-2500-APU-with-RadeonTM-HD-Graphics												
CPU		Intel	Pentium 4 2.66GHz	933	9.47	127	http://cpu.userbenchmark.com/SpeedTest/4462/--------------IntelR-PentiumR-4-CPU-266GHz												
